#ID	EPIC	SIZE	PLAT	DEPS	TITLE	ACCEPTANCE
S3.8	E3	M	core	S3.4,S3.5,S1.5	Codec conformance suite	Each decoder's full-image output hashed against fixtures/manifest.json|Ground truth is hdiutil's own output|A decoder that disagrees with Apple fails the build
E4	-	-	-	-	Encrypted DMG support	encrcdsa v2 images open with a passphrase, and a wrong passphrase says so rather than reporting corruption.
S4.1	E4	M	core	S2.1	encrcdsa v2 header parse	Parse per docs/04 section 2|Every variable-length field (KdfSaltLen, BlobEncIvSize, EncryptedKeyblobSize) bounded against its fixed-size container before slicing|EncKeyBits restricted to 128 or 256; anything else is rejected|DataOffset and DataSize bounded against the real file length
S4.2	E4	S	core	S4.1	PBKDF2 key derivation	`Rfc2898DeriveBytes` with HMAC-SHA1, salt and iteration count from the header|Iteration count capped at 10,000,000; above the cap is a reject with a clear message, not a hang|Output length BlobEncKeyBits/8
S4.3	E4	M	core	S4.2	3DES keyblob unwrap	3DES-EDE-CBC decrypt of the encrypted keyblob using the derived key and BlobEncIv|Split the result into the AES key and the 20-byte HMAC-SHA1 key|Padding handled explicitly rather than by the framework
S4.4	E4	S	core	S4.3	Per-block IV derivation	IV = HMAC-SHA1(hmacKey, BE32(blockNumber))[0..16]|Pure function of block index, so the stream is randomly seekable|Test vectors from a real fixture
S4.5	E4	L	core	S4.4	EncryptedBlockStream decorator	Seekable read-only Stream decrypting AES-CBC over 4096-byte blocks|**Length reports header.DataSize (plaintext), not ciphertext length**|One-block cache so sequential reads do not re-decrypt|Non-block-aligned reads decrypt the containing block and slice|UdifReader works through it unchanged
S4.6	E4	M	core	S4.5	Passphrase input	`--password-stdin` and `--password-env VAR`|Interactive no-echo console prompt when neither is given|**No `--password <value>` option** by design|Held as byte[] and zeroed with CryptographicOperations.ZeroMemory on every exit path including exceptions|Never logged, never in a crash report
S4.7	E4	M	core	S4.5	Wrong-passphrase detection	Checked at EncryptedBlockStream construction, not during parsing|Fast check: keyblob padding validity|Authoritative check: plaintext sanity (koly signature)|**Exit code 4, never exit 9** — a wrong password must never be reported as a corrupt image
S4.8	E4	M	core	S4.3	Legacy and FIPS failure modes	Detect legacy v1 `cdsaencr` (header at EOF) and report as unsupported, exit 3|Catch `TripleDES.Create()` failing under machine FIPS policy and report it as a policy problem with no workaround|Neither surfaces as a generic crypto error
S4.9	E4	M	core	S4.7,S1.5	Encrypted round-trip tests	Decrypt the AES-128 and AES-256 fixtures|Parse the UDIF container inside each|Verify the decoded stream against the manifest hash|Wrong-passphrase case asserted to exit 4
E5	-	-	-	-	Block stream and cache	The seam. A Stream over the decoded image that is fast enough to be usable.
S5.1	E5	L	core	S2.7,S3.1	DmgBlockStream	`DmgBlockStream : Stream`, seekable, read-only|Length = koly.SectorCount * 512|CanWrite is permanently false|Honours the full Stream contract including partial reads|Read path: index lookup, cache, decoder, source
S5.2	E5	M	core	S5.1	LRU chunk cache	Configurable byte budget, default 64 MiB|Eviction under budget pressure|**Correctness identical with cache size 0 and with 1 GiB** — a test asserts this
S5.3	E5	M	core	S5.1	Chunk-boundary read correctness	Reads spanning two and three chunks|Partial chunk reads|First sector, last sector, exact chunk edges|Read past the end returns 0, not an error
S5.4	E5	M	core	S5.2	Sequential prefetch	Detect monotonically advancing reads|Decompress chunk n+1 on a single background thread|No task graph, no thread pool churn|Disabled cleanly when the cache is too small to hold the prefetch
S5.5	E5	M	ci	S5.4	Throughput benchmark and regression gate	Benchmark full sequential read of a UDZO fixture|A regression threshold that fails CI|Numbers recorded in the repo so a slowdown is visible in the diff
E6	-	-	-	-	Partitions and the filesystem gate	Know what is inside, and refuse clearly what cannot be mounted.
S6.1	E6	M	core	S5.1	GPT and protective MBR	Parse the protective MBR|Parse the GPT header and entry array, validating the header CRC|Report partition type GUIDs, start and end LBA, and names
S6.2	E6	M	core	S5.1	Apple Partition Map and DDM	Driver Descriptor Map at sector 0 (`ER` signature)|Apple Partition Map entries including Apple_HFS, Apple_Free and Apple_partition_map|Older images use this instead of GPT
S6.3	E6	S	core	S6.1	Whole-disk images	Handle images with no partition table at all|The whole stream is one volume|Distinguish this from a corrupt partition table
S6.4	E6	M	core	S6.3	exFAT probe	Recognise the exFAT boot sector|Extract the volume label from the directory entry and the volume serial|The primary success path for this tool
S6.5	E6	S	core	S6.4	FAT32 and NTFS probes	Recognise both boot sectors|Extract volume labels|Both are mountable by Windows and therefore supported
S6.6	E6	M	core	S6.4	HFS+ and APFS probes	Identify both and mark them unmountable|Drives exit code 5 with a message that names the filesystem and suggests `dmg extract`|**Must not be a generic "unsupported" message** — the user needs to know it is HFS+
S6.7	E6	M	core	S6.5,S6.6	Volume selection	`--partition <n>` selects explicitly|Default rule: the single mountable volume|If several are mountable, error listing the candidates rather than guessing|If none are, exit 5 naming what was found
E7	-	-	-	-	VHD writer	Turn the decoded stream into a file Windows will mount.
S7.1	E7	M	core	S1.2	Fixed VHD footer	512-byte footer struct, big-endian|CHS geometry calculation per the VHD spec|One's-complement checksum|Cookie "conectix", disk type 2 (fixed)|Unit-tested against a footer produced by Windows itself
S7.2	E7	M	core	S7.1,S5.1	VhdWriter	Stream DmgBlockStream to a .vhd and append the footer|Progress callback with bytes written and total|Buffered writes sized to the chunk size, not 4 KiB
S7.3	E7	M	core	S7.2	Scratch management	Mount IDs generated, never derived from image content|**Paths constructed by us, never taken from the image**|Cleanup on unmount|`--keep-scratch` opt-out|Default location %LOCALAPPDATA%\dmg\scratch
S7.4	E7	S	core	S7.3	Free-space precheck	Check available space before writing a single byte|Exit 8 reporting both the required and available figures|Runs before the expensive step, per CLI design section 3.4
S7.5	E7	M	core	S7.2	VHD round-trip conformance	Written VHD's sector range is byte-identical to the source DmgBlockStream|Footer parses back to the same geometry|Test on the raw, zlib and sparse fixtures
S7.6	E7	L	core	S7.5	Dynamic (sparse) VHD writer	Dynamic VHD with BAT and block bitmaps|Skip zero-fill and ignore chunks so a mostly-empty image costs little scratch|Behind `--dynamic`, not the default in v1|Round-trip verified the same way as S7.5
E8	-	-	-	-	Windows mount	A drive letter, and the ability to get rid of it again.
S8.1	E8	M	core	S1.2	IVirtualDiskService port and fake	Port interface covering open, attach, detach and physical-path query|`FakeVirtualDiskService` hand-written, no mocking framework|**Makes mount logic unit-testable on macOS** — this is the story that keeps the feedback loop short
S8.2	E8	L	win	S8.1	virtdisk.dll bindings	`LibraryImport` bindings for OpenVirtualDisk, AttachVirtualDisk, DetachVirtualDisk, GetVirtualDiskPhysicalPath|Source-generated marshalling, AOT-compatible|Win32 error codes mapped to DmgError, not thrown as raw HRESULTs
S8.3	E8	S	win	S8.2	Read-only and read-write attach	ATTACH_VIRTUAL_DISK_FLAG_READ_ONLY by default|`--rw` opts in|The mode is reported in the mount output and the registry
S8.4	E8	L	win	S8.2	Drive letter discovery	GetVirtualDiskPhysicalPath, then IOCTL_STORAGE_GET_DEVICE_NUMBER, then FindFirstVolume/FindNextVolume, then GetVolumePathNamesForVolumeName|Match the volume to our device number rather than diffing GetLogicalDrives, which races|Handles the case where Windows has not assigned a letter yet (bounded retry)
S8.5	E8	M	win	S8.4	Explicit drive letter	`--letter X:` attaches with ATTACH_VIRTUAL_DISK_FLAG_NO_DRIVE_LETTER then SetVolumeMountPoint|Clear error if the letter is already in use|Validate the letter format before doing any work
S8.6	E8	M	win	S8.2	Elevation detection	Check the process token for the Manage Volume privilege before any expensive work|Exit 7 with the exact remedy (open an elevated shell)|**No self-elevation** — a CLI that spawns UAC prompts is hostile in scripts
S8.7	E8	M	win	S8.1	Mount registry	JSON at %LOCALAPPDATA%\dmg\mounts.json|`System.Text.Json` source generation for AOT compatibility|Records id, source, vhd path, letter, mode and timestamp|Concurrent access handled with a lock file
S8.8	E8	M	win	S8.7,S8.4	Registry reconciliation	On every read, prune entries whose disk is no longer attached|A reboot must not leave ghost entries in `dmg list`|Reconciliation is silent unless `--verbose`
S8.9	E8	M	win	S8.8	Detach and cleanup	Unmount by letter, by id, or `--all`|Detach, delete the VHD unless `--keep-scratch`, update the registry|**Correct behaviour when a handle is still open** — report which process, do not force
E9	-	-	-	-	CLI surface	The contract users and scripts actually depend on.
S9.1	E9	M	core	S1.3	ICliCommand and dispatcher	`ICliCommand { Verb, Execute(ctx) }` plus a registry|`Program.Main` reduced to routing and a top-level exception handler|Each verb independently testable without launching a process|Unhandled exception becomes exit 1 with a report path
S9.2	E9	L	core	S9.1	Argument parser	Hand-rolled, no third-party package|Supports `--flag`, `--opt value`, `--opt=value`, short `-v`, and `--` terminator|Unknown option errors suggest the nearest match|Exit 2 for usage errors
S9.3	E9	M	core	S9.2,S6.7	dmg info	Reads only the trailer, plist and block map — never decodes a chunk|Reports container, encryption, decoded size, chunk codec breakdown, partitioning and per-partition mountability|**Exits 0 even for an unmountable image** — it answered the question|`--json` mode
S9.4	E9	L	win	S9.3,S7.4,S8.6	dmg mount	Orchestrates the full 14-step sequence in CLI design section 3.4|Filesystem, scratch-space and elevation checks all run before the VHD write|Progress during the write|Human and `--json` output|Records the mount in the registry
S9.5	E9	M	win	S9.2,S8.9	dmg unmount	Accepts a drive letter, a mount id, or `--all`|Reports reclaimed space|Clear error if the target is not one of ours
S9.6	E9	S	win	S9.2,S8.8	dmg list	Table of id, letter, filesystem, size, mode and source|Reconciles against actually-attached disks first|Empty state prints a helpful line, not a blank table
S9.7	E9	M	core	S9.2,S7.2	dmg extract	Writes the decoded image to raw or VHD via `--format`|Works on images that cannot be mounted, which is the point|Progress reporting|Refuses to overwrite without `--force`
S9.8	E9	M	core	S9.2,S3.8	dmg verify	Full decode pass validating every chunk|Reports the first failing chunk index and its EntryType|Exit 9 on failure, 0 on success|Useful as the acceptance check for a downloaded image
S9.9	E9	M	core	S9.2	Help and version	Top-level help listing verbs|Per-verb help with every option|`version` reporting the build and target architecture|Help goes to stdout when asked for, stderr when it is an error
S9.10	E9	M	core	S9.4,S9.5	Exit-code contract tests	One test per exit code in the CLI design section 2 table|Asserted in both human and `--json` modes|**This is the contract scripts depend on** — it does not change without a version bump
S9.11	E9	S	core	S9.4	Progress rendering	Detect a non-TTY or redirected stdout and degrade to one line per update|Respect `--quiet`|Progress always on stderr so `--json` stdout stays clean
E10	-	-	-	-	Packaging, docs and QA	Something Jim can download and run, and evidence that it works.
S10.1	E10	M	ci	S9.10	NativeAOT publish	Single self-contained dmg.exe for win-x64 and win-arm64|Assert no runtime dependency: the binary runs on a machine with no .NET installed|Trim and AOT warnings treated as errors|Record the binary size
S10.2	E10	M	ci	S10.1	Release workflow	Tag triggers a build of both architectures|Artifacts attached to a GitHub Release with SHA-256 checksums|Release notes generated from the merged story titles
S10.3	E10	M	-	S9.10	README rewrite against shipped behaviour	Real usage examples taken from actual output|The exit-code table|The elevation requirement stated up front|The stated limits (HFS+, APFS, bzip2, LZFSE, LZMA) not buried
S10.4	E10	L	win	S9.5,S1.6	End-to-end suite on Windows CI	Mount a real fixture on windows-latest, which runs elevated|Read a known file and verify its hash|Unmount and assert the VHD is gone and the registry is clean|**This is where the E8 stories are actually confirmed on hardware**
S10.5	E10	M	core	S2.9,S3.6,S4.8	Hostile corpus promoted to a CI gate	Covers E2, E3 and E4|Every malformed input exits cleanly with a specific code|No unhandled exception, no hang, no allocation spike|Runs on macOS as part of the core job
S10.6	E10	S	-	S10.4	Manual test plan for the Windows VM	docs/manual-test-plan.md|Explorer shows the volume with the right label|Eject from Explorer behaves sanely|UAC message is comprehensible|Unmount with an Explorer window open on the drive
S10.7	E10	S	ci	S1.6	Dependency ledger kept current	The ledger in docs/02 section 5 matches reality|CI guard failure message points at ADR-002|A new package under src/ fails the build with an explanation, not a stack trace
